Nomor,Bahasa Ngapak,Bahasa Indonesia,Contoh Kalimat (Bahasa Daerah),Contoh Kalimat (Bahasa Indonesia),Tingkatan,Bahasa,Dialek,Provinsi,Daerah,Suku
40,Lunga,Pergi,Adiku arep lunga ming pasar.,Adikku mau pergi ke pasar.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
41,Mangan,Makan,Nyong mangan lawuh sate.,Aku makan lauk sate.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
42,Mblenger,Kekenyangan,Rasane nyong wis mblenger banget.,Rasanya aku sudah terlalu kekenyangan.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
43,Medeni,Menakutkan,Udane medeni banget.,Hujannya sangat menakutkan.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
44,Mengko,Nanti,Mengko tek traktir nek wis gajian.,Nanti aku traktir kalau sudah mendapatkan gaji.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
45,Mlaku,Berjalan,Nyong seneng banget mlaku nang pinggir pantai,Aku senang sekali berjalan di tepi pantai.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
46,Mlayu,Lari,Aja mlayu-mlayu nang ndalan gedhe.,Jangan lari-lari di jalan raya.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
47,Mudhun,Turun,Simbah ora teyeng mudhun sekang wit klapa.,Simbah tidak dapat turun dari pohon kelapa.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
48,Munggah,Naik,Wingi nyong dijaki munggah gunung.,Kemarin aku diajak naik gunung.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
49,Ndeleng,Menonton,Bapak lagi ndeleng acara bal-balan neng tipi.,Bapak sedang menonton acara sepak bola di TV.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
50,Ndredeg,Gemeteran,Nyong ndredeg merga kencoten.,Aku gemeteran karena kelaparan.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
51,Ngalih,Pindah,Budi ngalih njagong neng mburi ben luwih kepenak.,Budi pindah duduk ke belakang agar lebih nyaman.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
52,Nganggo,Memakai,Ngesuk Senen nganggo seragam apa?,Besok Senin pakai seragam apa?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
53,Nganti,Sampai,Nganti kapan arep kaya kiye terus?,Sampai kapan akan begini terus?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
54,Ngapa,Kenapa,Ngapa ora ganti sing anyar?,Kenapa tidak ganti dengan yang baru?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
55,Ngarit,Memotong rumput,Andi ngrewangi bapake ngarit nang sawah.,Andi membantu bapak memotong rumput di sawah.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
56,Ngaso,Istirahat,Nek kesel ya ngaso disit.,"Kalau capek, istirahat dulu.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
57,Ngedum,Membagikan,Ibu ngedum jeruk ben adil.,Ibu membagikan jeruk secara adil.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
58,Ngejak,Mengajak,Nyong ngejak koe gelem po ora?,Aku mengajak dirimu mau apa tidak?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
59,Ngelu,Pusing,Sirahku ngelu banget bar panasan.,Kepalaku pusing sekali sehabis kena panas.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
60,Ngendi,Ke mana,Arep ngendi maning bar kiye?,Mau ke mana lagi setelah ini?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
61,Ngeneh,Ke sini,"Ming ngeneh bae, yuh!","Ke sini saja, yuk!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
62,Ngesuk,Besok,"Ngesuk nyong melu menyang Bali, ya!","Besok aku ikut ke Bali, ya!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
63,Nggawa,Membawa,Adi nggawa jajan nang sekolahan.,Adi membawa jajan ke sekolah.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
64,Nggawe,Membuat,Ibu nggawe nastar seurunge bada.,Ibu membuat nastar sebelum lebaran.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
65,Nggih,Ya,"Nggih, Bu, matur nuwun.","Ya, Bu, terima kasih.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
66,Nggo ngapa,Buat apa,Mangkoke arep nggo ngapa?,Mangkuknya mau buat apa?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
67,Nggolet,Mencari,Nyong arep nggolet kunci motor sing wingi ilang.,Aku mau mencari kunci motor yang kemarin hilang.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
68,Nginum/ngombe,Minum,Bar mangan aja kelalen nginum/ngombe.,Setelah makan jangan lupa minum.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
69,Ngira,Mengira,Nyong ora ngira koe mblenjani.,Aku tidak mengira dirimu mengingkari.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
70,Nglangi,Berenang,Bebek nglangi nang kali.,Bebek berenang di sungai.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
71,Nglebokna,Memasukkan,Aja kelalen nglebokna bekal nang tasmu.,Jangan lupa memasukkan bekal di tasmu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
72,Nglempit,Melipat,Ibu lagi nglempit klambi nang ruang tamu.,Ibu sedang melipat baju di ruang tamu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
73,Teyeng,Bisa/dapat,Nyong teyeng nggarap soal ulangan kuwe.,Aku dapat mengerjakan soal ulangan itu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
74,Ngresula,Mengeluh,Dadi bocah aja seneng ngresula.,Jadi anak jangan suka mengeluh.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
75,Ngumbah,Mencuci,Dina Minggu jatahe ngumbah motor.,Hari Minggu saatnya mencuci motor.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
76,Njagong,Duduk,Aja njagong nang ngarep lawang.,Jangan duduk di depan pintu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
77,Njanggleng,Berdiri,Njanggleng bae ben keton.,Berdiri saja biar kelihatan.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
78,Nyambut gawe,Bekerja,Bapak mangkat nyambut gawe jam 7 esuk.,Bapak berangkat bekerja pukul 7 pagi.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
79,Nyamper,Menjemput,"Aja kelalen nyamper nyong, ya!","Jangan lupa menjemputku, ya!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
80,Nyangking,Membawa di tangan,"Angger masar, Ibu nyangking tas belanjaan.","Setiap ke pasar, Ibu membawa tas belajaan di tangan.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
81,Nyeluk,Memanggil,Nyong nyeluk Ardi tapi ora krungu.,Aku memanggil Ardi tapi tidak terdengar.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
82,Nyilih,Meminjam,Ani seneng nyilih pulpen ming Ami.,Ani suka meminjam pulpen ke Ami.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
83,Nyong,Saya/Aku,Nyong ora ngerti sing endi sing salah.,Aku tidak tahu mana yang salah.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
84,Nyumet,Menyalakan,"Angger mati listri, Ibu nyumet lilin.","Kalau mati listrik, Ibu meyalakan lilin.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
85,Ora,Tidak,Ora mungkin nyong bakal mblenjani.,Tidak mungkin aku akan mengingkari.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
86,Perek,Dekat,Umaku perek karo umahmu.,Rumahku dekat dengan rumahmu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
87,Pira,Berapa,Pira kiye regane?,Berapa ini harganya?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
88,Rampung,Selesai,Tugasku wis rampung kawit wingi.,Tugasku sudah selesai dari kemarin.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
89,Sapa,Siapa,Sapa sing ora mangkat dina kiye?,Siapa yang tidak berangkat hari ini?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
90,Sepur,Kereta Api,Nuna seneng banget numpak sepur menyang Jogja.,Nuna senang sekali naik kereta api ke Jogja.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
91,Siki,Sekarang,Siki nyong kerja nang Jakarta.,Sekarang aku bekerja di Jakarta.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
92,Srengenge,Matahari,Srengenge dina kiye semelet temen.,Matahari hari ini panas banget.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
93,Temen,Banget,Koe seneng temen mangan seblak.,Kamu senang banget makan seblak.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
94,Temenan,Beneran,Temenan ora mbonceng nyong bae?,Beneran tidak membonceng aku saja?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
95,Udu,Bukan,Udu kaya kuwe sing tek maksud.,Bukan seperti itu yang kumaksud.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
96,Umah,Rumah,Nyong bali umah seminggu pisan.,Aku pulang ke rumah seminggu sekali.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
97,Wareg,Kenyang,Ani wareg mangan sate rong porsi.,Ani kenyang makan sate dua porsi.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
98,Weruh,Melihat,Nyong weruh tabrakan nang kana.,Aku melihat kecelakaan di sana.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
99,Wingi,Kemarin,Wingi nyong ming pasar karo Ibu.,Kemarin aku pergi ke pasar bersama Ibu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
100,Wis,Sudah,Nyong wis mangan mau esuk.,Aku sudah makan tadi pagi.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
